"人気度","カテゴリー","商品名","付加情報1","付加情報2","JAN","価格","URL","iscd(商品cd)"
"11","Ｊ‐ポップ","キャッツ★アイＶＳキューピット　コンプリート・コレクション","","","=""4988004090592""","5980","https://www.bookoffonline.co.jp/old/0001386213","=""0001386213"""
"11","Ｊ‐ポップ","セレクション２０","","","=""4988006029583""","980","https://www.bookoffonline.co.jp/old/0015465181","=""0015465181"""
"11","Ｊ‐ポップ","ＮＩＧＨＴ　ＷＡＬＫＥＲ","","","","3480","https://www.bookoffonline.co.jp/old/0000871415","=""0000871415"""
"11","Ｊ‐ポップ","Ｔｈｅ　Ｍ・Ａ・Ｊ・Ｉ","","","","2580","https://www.bookoffonline.co.jp/old/0000899311","=""0000899311"""
"11","Ｊ‐ポップ","多羅尾伴内楽團スペシャル","","","=""4988009550268""","3480","https://www.bookoffonline.co.jp/old/0000858922","=""0000858922"""
"11","Ｊ‐ポップ","ＳＰＩＲＩＴＳ　３０　ビッグコミックスピリッツ創刊３０周年記念　ＴＶ　＆　Ｍｏｖｉｅ　テーマソング集","","","=""4988017675762""","3480","https://www.bookoffonline.co.jp/old/0016358264","=""0016358264"""
"11","Ｊ‐ポップ","ＡＲＴＩＳＴ’Ｓ　ＰＲＯＯＦ","","","=""4571106700874""","2580","https://www.bookoffonline.co.jp/old/0001323209","=""0001323209"""
"11","Ｊ‐ポップ","７月の雨","","","=""4582280488014""","5980","https://www.bookoffonline.co.jp/old/0016206110","=""0016206110"""
"11","Ｊ‐ポップ","Ｐｉｎｅａｐｐｌｅ（完全限定生産盤）（ＳＡＣＤハイブリッド）","<SACD>","","=""4571177050199""","2981","https://www.bookoffonline.co.jp/old/0019194311","=""0019194311"""
"11","Ｊ‐ポップ","ＦＩＸＥＤ（初回限定盤）（ＤＶＤ付）","","","=""4571483880909""","2380","https://www.bookoffonline.co.jp/old/0018748960","=""0018748960"""
"11","Ｊ‐ポップ","奴隷天国","","","=""4988010337315""","2380","https://www.bookoffonline.co.jp/old/0015461071","=""0015461071"""
"11","Ｊ‐ポップ","【８ｃｍ】男は行く","","","=""4988010312213""","1980","https://www.bookoffonline.co.jp/old/0015460126","=""0015460126"""
